,value,year,country,var,full_name,freq,unit,base,quarter,month
2012Q4,-3.73669006797126,2012,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2013Q1,-3.2940176129315546,2013,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2013Q2,-3.581763841704344,2013,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2013Q3,-3.226729925478722,2013,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2013Q4,-2.9624913447554135,2013,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2014Q1,-3.769622062400302,2014,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2014Q2,-2.961421159572275,2014,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2014Q3,-2.2864120271689714,2014,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2014Q4,-2.3304433407931313,2014,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2015Q1,-2.018082917851949,2015,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2015Q2,-1.9394170115852205,2015,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2015Q3,-2.106713520796788,2015,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2015Q4,-2.4285203028981073,2015,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2016Q1,-2.2799031774768608,2016,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2016Q2,-2.3815958751718824,2016,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2016Q3,-2.1659023436658487,2016,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2016Q4,-2.056849175970754,2016,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2017Q1,-2.041335067273664,2017,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2017Q2,-1.9927433334773426,2017,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2017Q3,-1.6614229521728419,2017,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2017Q4,-1.168660638894714,2017,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2018Q1,-0.9826973804530681,2018,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2018Q2,-0.772210689847519,2018,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2018Q3,-0.5237790439808876,2018,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2018Q4,-0.8020433961691609,2018,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2019Q1,-0.7215393929456582,2019,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2019Q2,-0.523947714260764,2019,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2019Q3,-0.12316204335043324,2019,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2019Q4,-0.16392025297662371,2019,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2020Q1,-1.8089458995980578,2020,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2020Q2,-11.101967532130175,2020,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2020Q3,-3.9061803700930042,2020,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2020Q4,-3.37115665765495,2020,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2021Q1,-2.2913417833738237,2021,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2021Q2,-1.082468083722965,2021,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2021Q3,-0.9326223039309411,2021,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2021Q4,0.2412490649675192,2021,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2022Q1,-0.6692642012744443,2022,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2022Q2,-1.2911287105756841,2022,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2022Q3,-0.9478754303616554,2022,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2022Q4,-0.7489242973832688,2022,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2023Q1,-0.6776848730169149,2023,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2023Q2,-0.6133419647577298,2023,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
